analyst,accuracy,precision,recall,positive_rate
standard#0,0.5235451636078636,0.1943913678768124,0.931340872374798,0.581085494089217
standard#1,0.6424139507543596,0.23176156583629892,0.8416801292407108,0.4404676376461368
standard#2,0.6165175364117301,0.22788585372466616,0.905223478729133,0.48177780680556465
standard#3,0.37646136764417737,0.16120363027579523,0.9851911685514271,0.7412317941349357
standard#4,0.33090588465808896,0.15186983771219856,0.9851911685514271,0.7867872771210241
standard#5,0.7170988178433806,0.27668982943777637,0.8255250403877221,0.36186401933250606
standard#6,0.546175951929985,0.20209466970920367,0.9299946149703824,0.5581281431650448
standard#7,0.6939128730977728,0.2757390821906951,0.936725901992461,0.41202403500751095
standard#8,0.8858010580628306,0.520773501818878,0.732364028002154,0.17056364705113972
standard#9,0.5847103389719809,0.2137360890302067,0.9049542272482499,0.5135196917249036
standard#10,0.8631702697407093,0.46356399265156156,0.8152934841141626,0.21331069165959116
standard#11,0.7857096205342564,0.3246305418719212,0.7097469036079699,0.2651688328652603
standard#12,0.8467441708575534,0.4286130961061689,0.7913301023155628,0.22392397622624258
standard#13,0.651002547188296,0.23326447861678526,0.8209477652127086,0.42684997714061784
standard#14,0.6163215988504996,0.22447020094643713,0.8812600969305331,0.47616093005029064
standard#15,0.5579322056038143,0.2003172859845018,0.8839526117393646,0.5352034485010777
standard#16,0.8797923061850956,0.5030720536212996,0.7275175013462574,0.17539677356149175
standard#17,0.8910913722160538,0.5353478828576758,0.7727517501346257,0.17507021095944092
standard#18,0.6359480112337536,0.23724020924643008,0.9036079698438342,0.46195545686108025
standard#19,0.7131474103585658,0.2760600706713781,0.8414108777598277,0.36966886552152045
standard#20,0.494383123244726,0.17842505054921035,0.879106085083468,0.597576905492783
standard#21,0.8592188622558945,0.4544761323776117,0.8023694130317717,0.21412709816471817
standard#22,0.8567043302201032,0.4471786833855799,0.7681744749596123,0.20834694010841878
standard#23,0.9072562210175691,0.5979381443298969,0.7183629509962305,0.14571223303507283
standard#24,0.5287375089804716,0.1966257147709902,0.935110393107162,0.5768075240023512
standard#25,0.924106851283391,0.6785714285714286,0.7110931610123856,0.12709816471817648
standard#26,0.830546665795833,0.39596558047679503,0.7557889068389876,0.23150022859382144
standard#27,0.901998563124551,0.5810043172006362,0.6884760366182014,0.14372020116256287
standard#28,0.6320945725295539,0.2440347071583514,0.9693053311793215,0.48174515054535955
standard#29,0.5291293841029325,0.19307299730489133,0.9065697361335487,0.5694925217164131
standard#30,0.5217490692965842,0.18518518518518517,0.8656435110393107,0.5669453334204166
standard#31,0.8159493174841617,0.3720031965903037,0.7520193861066236,0.24518320161975052
standard#32,0.4402390438247012,0.17433907349017705,0.9676898222940227,0.6732088041277513
standard#33,0.9312912285285089,0.7288231949971575,0.6903607969843835,0.11488472340147607
standard#34,0.5816733067729084,0.20831195484864032,0.8745288099084545,0.5091764091176278
standard#35,0.7810724315851348,0.3326242722794447,0.7999461497038234,0.2916857161517863
standard#36,0.7515511723597413,0.2968912998122262,0.7662897145934303,0.3130429103259095
standard#37,0.8726079289399777,0.4849120542197838,0.8091007000538503,0.2023708444908889
standard#38,0.9613349879171837,0.8801081730769231,0.7886375875067313,0.10868003396251061
standard#39,0.9053295016654692,0.5819754576543955,0.778944534194938,0.16233426947945923
standard#40,0.7871138397230749,0.3486238532110092,0.8696822832525579,0.30256025080007837
standard#41,0.5987525308601659,0.23029006480840622,0.9854604200323102,0.5190059434393574
standard#42,0.4888315590098622,0.18113348645905666,0.9130317716747443,0.6113578472993273
standard#43,0.6448958265299458,0.24870138986382143,0.9539579967689822,0.4652210828815884
standard#44,0.828489321402913,0.39337215751525234,0.7638664512654819,0.23551694859904643
standard#45,0.638952387172621,0.23612708453133985,0.8844911147011308,0.45431389197309124
standard#46,0.5918620599568938,0.2249498997995992,0.9671513193322563,0.5214551629547384
standard#47,0.8145777545555483,0.3714996074326093,0.7644049542272483,0.2495591404872314
standard#48,0.8243746326170727,0.39636273044344794,0.8567582121701669,0.2621644569263928
standard#49,0.7617399255437267,0.31817258883248734,0.843834141087776,0.32166416302005096
